username,contributions,location,staydate,triptype,reviewdate,overallrating,revtitle,reviewtext,roomtip,value,service,sleepquality,locationrev,rooms,cleanliness,responder,responderposition,responsedate,response,helpful
Walter B,1,,2021-08-31,FAMILY,2021-08-17,5,Perfect family reunion!,"My family gathered in the Solvang area for my mothers-in-laws 85th birthday. Hotel Corque was clean, the staff was very accommodating, and the amenities were nice especially considering COVID restrictions. I would highly recommend Hotel Corque and will stay here on my next trip to Solvang.",,,,,,,,,,,,0
wkrik,314,"Carlsbad, California",2021-07-31,NONE,2021-07-22,4,Nice ADA Room ... Get 2-for-1 Tastings,"TIP: Solvang has lots of wine tasting rooms. Hotel guests can get 2-for-1 tastings. If you arrive before check-in and your room is not ready, try to get the list from reception. We killed time by doing some tastings, then learned of the list after check-in. I  was disappointed that the same person at check-in didn't tell me when I told her we were going tasting until the room was ready. That's $50 I won't get back. 
     Hotel was running at half capacity due to lack of staffing, so there was plenty of free self-parking, hotel wasn't crowded, internet was slow. Masks wearing was 50/50. Hotel appeared clean and felt safe.
     We needed a bathtub, and they had an ADA (disability) room (#237) available. WOW, nice big bathroom, bathtub had 3 nozzles (and a rubber duck!), spacious queen room, reading lights in headboard, and motion censored nightlight. Beds may have been lowered, but very comfortable!  Only complaint was no bathroom counter and a small table so a wheelchair could fit. No ice on 2nd floor, so had to go to 3rd floor for ice and vending machines.
     Staff was friendly and attentive. The hotel is owned by Chumash Casino, and when fully staffed typically has free shuttles to the casino.
     Would definitely stay here again.",,4.0,4.0,,,4.0,,,,,,124
Angie F,4,,2021-07-31,NONE,2021-07-18,5,Best hotel I have ever stayed in.,"The staff are friendly and helpful. Even the doormen are a delight. The pool is gorgeous with floats for the kids, lounge chairs around the pool with kabanas.
The rooms were amazing, very clean and with everything a person could want in a room: Bath salts for the tub and even a rubber ducky, shower, TV, frig, writing desk, iron board and iron, safe with own pass numbers, balcony, and more.",3rd floor overlooking the pool is nice.,,5.0,,5.0,,5.0,,,,,0
Rhea,10,,2021-07-31,NONE,2021-07-10,5,The Perfect Place!!,"Yes, Yes & YES!!! I love this place!!  The front desk staff is very nice & professional. My boyfriend left his shirt in the room by accident after we checked out & they mailed it back.
The rooms are beautiful, and excellent bedding!!!
Easy check in 
I cant wait to return here. They do go above & beyond for their guests.
I love the different infused waters they have in the lobby!!",,,5.0,5.0,5.0,,,,,,,12
cwhitley,65,"Dallas, Texas",2021-06-30,NONE,2021-07-10,5,"Good service, nice facilities","We traveled to Santa Barbara wine country for our anniversary. We've stayed in Solvang before, usually at the Hadsten House, the Corque's sister property. But we decided to splurge here this time, and it didn't disappoint.

When we entered the room, there was a Happy Anniversary card waiting for us with snacks. The people were always nice, including people always there to open the door when we arrived. We had a room with a balcony overlooking the pool, which was a pleasant place to read with coffee in the morning.

Because of COVID, there was no housekeeping, which was difficult for a few days' stay. There's also no free breakfast or room service. But getting breakfast in the bakeries nearby is half the fun of going to Solvang.

This place was great. Would highly recommend.",Get a balcony room if you can,,,,,,,,,,,65
Sandie F,3,,2021-06-30,NONE,2021-07-01,5,Beautiful Hotel with Excellent Customer Service,"We stayed at the Hotel Corque on Sunday, June 6th, checked out on Tuesday, June 8th.  What makes this hotel stand out is the rooms, the attention to detail and most important CUSTOMER SERVICE! Their customer service from the very beginning of us in the parking lot was EXCELLENT!!! I believe his name is Gio - all the staff is outstanding - friendly, efficient, courteous and helpful. Gio went above and beyond! 
Even helped my 82 year old mother. Gio is a gem!!!  Make sure you leave time to spend at the pool. They have a beautiful fire pit and lovely pool.  We will be back!!!",,,5.0,5.0,,,4.0,,,,,0
Janet S,27,"Berkeley, California",2021-06-30,NONE,2021-06-15,5,"well-run, hoest hotel","This is a refreshingly honest, well-run hotel. No hidden fees, no sense that they were attempting to wring more money out of us at every step. Just kind, professional folks, a clean establishment, beautiful bathrooms, great location. I would stay again next time I am in that part of the world",,5.0,5.0,,,5.0,,,,,,53
George L,78,"Corte Madera, California",2021-05-31,NONE,2021-05-25,5,Excellent,"We stayed here as the last stop on a 6 day trip. I had stayed here two years ago and my experience then was great so I booked it again this time.  Everything was excellent, from the people that greeted at the front door, the front desk staff.  The room was spotless, the linens were the best.  Anytime I am in Solvang I will stay at Corque.",,,,,,,,,,,,11
Rachel K,17,,2021-03-31,NONE,2021-05-18,5,Our Favorite Solvang Hotel,"I've stayed at the Hotel Corque several times -- sometimes alone to get away and write, other times with my husband. It's truly the best. The rooms are clean and spacious. The views from the third floor Santa Ynez rooms are stunningly beautiful. And the staff is beyond helpful and knowledgable about the area. Definitely have to shout out Adriana, the front office supervisor. What a gem! 

The special thing about Hotel Corque is they go out of their way to make the guests feel welcome. There's always a little sweet treat in the room when I arrive and they have a great tasting deal with several wineries/vineyards in the area. The location is central and parking is free. It's just a great place to get away for the weekend. I'm from LA and it's nice to have a place I return to again and again, and they always remember us.

Price is right, too -- book this one! Also very COVID safe, I stayed twice during the pandemic and felt like they were really on top of cleanliness and social distancing.",I like the Santa Ynez King rooms best!,,5.0,5.0,,5.0,,,,,,2
Debi S,1,,2021-04-30,NONE,2021-04-23,5,Excellent Hotel in Solvang!,"We just did a one night stay at this delightful hotel on our way home from OC.  Everything about it was perfect!  The room was huge, spotless and comfy.  The bathroom was beautiful!!  The amenities are also lovely.  

The hotel has plenty of parking and is located right in the middle of Solvang.  We walked everywhere.  The people at the front desk are very nice and masking is enforced in public areas.  There is also a lovely pool which we did not use (it was too cold the day we were there).

I would definitely stay here again!",,,5.0,,5.0,,5.0,,,,,2
Carlos,2,"Los Angeles, California",2021-04-30,NONE,2021-04-19,5,Best value for the price in the heart of Solvang!,"Our BMW Drive Group reached out to hotel management about getting a room block for our 2021 Spring Road Rally. The service, amenities, and accommodations were stellar the newly remodeled rooms were stunning.  The ladies in our group all mentioned the and I quote ""Amazing Bathtub"" in their rooms. 

They were able to accommodate all 18 of our BMWs in a section part of their parking lot................A+. Management was key in organizing our arrival with having plenty of staff for all our members to check-in. 

The hot tub was closed (covid) but we got to enjoy their pool cabanas and cozy firepits later in the evening. 

We are looking at making this one of our yearly spots. Special Thanks to Susan who helped us with our logitics!",Quieter away from the pool but that&#39;s any hotel,5.0,4.0,,,4.0,,,,,,1
Michael B,20063,"Bellflower, California",2020-09-30,NONE,2021-04-16,4,Clean Hotel centrally located,"Stayed the night here while driving down the coast.  
The Hotel offers free parking and Wi-Fi, temperature taken at the front door as we entered the beautifully decorated lobby, the staff was pleasant and very helpful. Our room was light and airy with a great bathroom and extra fresh towels, there is a pool and jacuzzi outback, but seemed to be totally unused.
  Overall Solvang is a sad little tourist town that closes its doors at 9 o'clock, the Hotel is surrounded by lots of souvenir shops, but hard to find an adult beverage spot that’s fun.
Could not wait to leave

TIP: Good place to take your grandchildren.
        If you’ve found this review helpful I would appreciate a thumbs up below.",,,4.0,,4.0,,4.0,,,,,821
jcsrkk,27,,2021-04-30,COUPLES,2021-04-15,5,Superb,"This is our second time staying at Hotel Corque.  From the moment you step into the lobby you are made to feel like you are family.  All rooms have been renovated since our last visit.  We were upgraded to a suite this visit. We truly appreciated the expansiveness of the room, bathroom and outdoor patio area.  Location is the best.  You can walk to anywhere in the downtown area within minutes.  Hotel Corque will always be our choice when we come to Solvang.  ",,,,,,,,,,,,3
Jennifer E,12,"Kuala Lumpur, Malaysia",2021-04-30,BUSINESS,2021-04-12,5,Love This Place,Corque has just been renovated and I love it.  The rooms are well appointed with tons of power outlets. It's so quiet. I had a King room with a nice tub. It came with a cool floating duck. I can't wait to go back!,,,,,,,,,,,,0
wendystevi,238,"Phoenix, Arizona",2021-03-31,NONE,2021-04-09,4,Enjoyed our stay,Great location to walk to every thing in Solvang.  Loved the room.  Very clean.  The bed was super comfy and I loved the pillows so much I went home and bought them and the comforter.  My only complaint was the towels felt like sandpaper.  Hopefully that is not the norm.  Oops almost forgot only handicapped parking is in the back but they have the doors locked due to Covid so you would have to walk completely around the building,,4.0,4.0,5.0,,,,,,,,85
Sabrina Halloran,1,,2021-03-31,COUPLES,2021-03-31,5,You need to stay here,Look I have stayed at a lot of bad hotels and this is not one by any stretch of the imagination. The staff were so friendly and had good recommendations about where to go in the area. Overall 10/10 will definitely be coming back,,,,,,,,,,,,0
Foofa B,150,California,2021-03-31,NONE,2021-03-29,5,Perfect Choice!,"We found Hotel Corque to be the perfect choice for our visit to idyllic Solvang. We only stayed the one night although we could have stayed there much longer as everything about the hotel, from it's welcoming staff and handsome decor to it's deal location was superb.

Cheers!",Opt for a room on a higher floor overlooking the pool area!,5.0,5.0,5.0,,,,,,,,89
Timbo,2,,2021-03-31,COUPLES,2021-03-04,5,Great place! Highly recommend.,Very nice updated rooms. Very quiet and comfortable with great views from the third floor balcony. Great location in the heart of Solvang. Plenty of tasting rooms and restaurants within walking distance. No complaints!,,,,,,,,,,,,0
Kristofer low,5,,2021-02-28,FRIENDS,2021-02-22,5,Kristofer low,"Nice staff, quiet and close to chumash casino if the chumash hotel is book.nice pool and hot tub, very clean and beautiful. Lovely bathroom, shuttles running from here and back to casino, in the heart of solvang. All in all great",,,,,,,,,,,,0
FamilyOf4,1,"Las Vegas, Nevada",2020-11-30,FAMILY,2020-11-24,2,2nd chance,"My initial review of Hotel Corque last year was based on the lack of reception/professionalism on the phone with one of their team member last year trying to round up group stay information. 

This time, my husband and I happened to be in the area, for an overnight trip and thought we should give the Corque a try since it was just a last minute thing.

Nice property, although we did have a cleanliness issue with our room. Resolved by the Housekeeping Dept. 

Only red flag was the immaturity of the front desk team. While in the lobby, they were complaining about a guest they just checked in. The front office manager, I think his name was Joseph, he checked us in, seemed to be the leader of that conversation. No bueno!!",,,,,,,,,,,,1
Peterisacksen,821,"Cabo San Lucas, Mexico",2020-10-31,COUPLES,2020-10-05,5,Everything done right,"I just stayed one night and from check in to check out, every protocol was followed. 

Temperature taken at front door after two nice gentleman opened it for you every time. 

Concise rules at check in and poolside. Big beautiful room with extra fresh towels and amenities. 

Easy communication with staff. 

Great location in town, with easy walking to restaurants and wine tasting. (If open). 

This is the way hotels should be run now. We felt safe and comfortable at all times. ",,,,,,,,,,,,169
Lorinka,8,"Santa Clara, California",2020-09-30,NONE,2020-09-20,5,Fabulous,"We have stayed in quite a few of the hotels in Solvang and Hotel Corque is our new favorite. Beautiful lobby and grounds, friendly and attentive staff. We stayed in a King Mission room on the 2nd floor which was huge. The bathroom was awesome, with a shower (with 2 shower heads!) and a giant tub. We had a good sized balcony that overlooked the pool. They do check your temperature on your way in and give you a wristband to show you've been checked, which seemed a bit overkill, I didn't like having to wear a scratchy wristband on my vacation. There was no breakfast or room service available but there are so many lovely bakeries in Solvang this wasn't an issue.",,5.0,5.0,5.0,,,,,,,,14
3SBTraveler,134,"Los Angeles, California",2020-08-31,COUPLES,2020-08-16,1,No safety protocols ,"We have stayed here before, pre-pandemic, and enjoyed the outdoor patio area and restaurant.   

This time we knew that there was no food or beverage service. Do not understand why they put a $100 hold on credit card for incidentals when no incidentals are offered.

That was annoying but what was terrifying was a power outage in the morning.  We could not call for assistance because the phone system did not work. Bathroom was pitch dark.  We were on the 3rd floor; my husband has balance issues due to previous surgeries and has difficulty with stairs.  We were at a total loss as how to negotiate our way out.  The hotel hallway had a few dim safety lights and that was all.  

After about an hour and a half, I helped my husband down the stairs and then made several trips to get our belongings.  I was never so happy to leave a hotel in my life.

This hotel either has no back up safety plan for power outages or failed to implement them.  

",,,,,,,,,,,,99
mariegleerup,72,"Los Angeles, California",2020-07-31,NONE,2020-08-09,5,Safer at home — at their “home”,"What a lovely, safe hotel stay! Great staff, safe environment, beautiful hotel. Everyone is self-temperature-taken (with the machine that looks like an ATM, right at the lobby door), and lots of guidelines and process to keep everyone safe. Pool was open and wonderful. Wine tasting patios and outdoor restaurants everywhere.",,,,,,,,,,,,11
Mrsbramm,9,"El Segundo, California",2020-07-31,NONE,2020-07-31,4,"Very nice, even during COVID","My husband and I stayed here July 27-29, a Monday - Weds. The hotel was full, but we never felt that it was crowded. Temperatures  were checked at the door and we were given a wristband to avoid multiple checks as we went in and out during the day. Keep in mind a hotel stay is different during the pandemic:  There is no daily maid service, no room service and no vending machines. Ice is still available. Understandable and no problem for us.
We stayed in room 308, a Treetop Room. It was a very nice room and had a great bathroom with double vanities on opposite sides of the room, which we loved.
My only complaint is that the room was billed as having ""French doors opening to a breezy balcony"". There were indeed french doors and it was nice and breezy...but there is no balcony. I have attached a photo. When we stay here again, we will request one of the rooms with real balconies, overlooking the pool.
One of the reasons I booked this hotel is it's pool and little fabric enclosed cabanas. I was so looking forward to a swim after a day of wine tasting. However, there were so many kids in the pool all day, playing games and being kids that there was no way an unrelated adult would be comfortable trying to swim among them. Maybe management would consider an adult hour in the late afternoon or early evening? We spoke to several others who were hoping for some post wine pool time.
Overall, a lovely hotel!",,,,,,4.0,5.0,,,,,1
Spartan19,34,,2020-06-30,FAMILY,2020-07-27,4,One night stay,"Wonderful small hotel, great value. Unfortunately pool was closed at the time but we still enjoyed our stay. Service was good but we didn’t need much. Hotel was clean, temp check upon arrival and great COVID precautions were taken by staff. Would definitely return.",,,,,,,,,,,,8
CB1020,170,"San Carlos, California",2020-07-31,COUPLES,2020-07-23,5,Charming stay in charming town,"This was a great choice in Solvang. We stayed during Covid days and Hotel Corque was diligent in cleanliness. If you read this after Covid days, staff was helpful, rooms large and location walkable to the main strip of restaurants and shops. Will definitely visit again. ",,,,,,,,,,,,96
LindamariH,58,"Alesund, Norway",2019-12-31,COUPLES,2020-07-03,5,We love Corque and Solvang,"As Scandinavians we had to visit the Danish town of Solvang.
We are so happy that we decided to at Hotel Corque.

The vibe was great and the lobby smelled amazing. 
The rooms were huge and modern.

Would love to stay here again.",,,,,,,,,,,,85
Mary Ann,7,"San Jose, California",2020-01-31,NONE,2020-04-13,5,Hotel Corque an A+,"This hotel was great in so many ways.  It was close to many many restaurants in Solvang of all kinds and varieties and many within walking distance or a 3 min. drive.  The grounds were beautiful - a boutique hotel - homey but large - 4 flours if I recall with elevators of course.  With a beautifully decorated lobby, they had coffee and different teas available on the first and second floors with plenty of seating, privacy if you wanted it  with many pleasant visiting areas.  The lobby had an inviting fireplace and comfortable chairs to just enjoy relaxing and having coffee, etc.

The rooms were very spacious, comfortable beds, and the bathroom was large with  two separate sinks and counters, plenty large for a couple to have their own private sink area.  The step in shower was great or if you preferred a bathtub, you could have had a room with that instead, same price.  They even had their own restaurant, dinner only, with a  very inviting menu. 

The price was surprisingly reasonable and we would stay there again in a heartbeat.  Don't know if they are that reasonable year round but this hotel is a real find if you are staying in Solvang.  WE LOVED IT.

Mary Ann","If you want a bathtub instead of a walk in shower, you can have it for the same price.",,5.0,,5.0,,5.0,,,,,1
Mckelly,6,,2020-03-31,NONE,2020-03-11,5,Thoughtful details from staff,"As always, Donna Dominguez arranged perfect accommodations for us and our two adult children. An disabled person’s room wasn’t available, so she said there would be a shower chair in our room. Saidif there was anything else she could do to make the room fit our needs, just ask. Over the years it’s like visiting a favorite family. We were celebrating a special birthday and how delighted we were to find birthday cards and special treats from Donna and Mr. Gold, the manager.  Housekeeping staff the best. Even suggested & got a stool so I could get into high bed with my bad hip.",Disability rooms very good. Rooms with king size bed have easy chair. Grand suite good for family.,5.0,5.0,,,,5.0,ScottG3337,General Manager,2020-03-12,"Lvsenior,

Welcome back to Hotel Corque, and thank you for your wonderful 5-star review!  We certainly appreciate you talking the time to leave comments about your recent visit! We are delighted to know what a positive and wonderful time you had with us while visiting Solvang. Thank you for mentioning Donna, our Front Desk Supervisor...isn't she awesome! We are lucky to have her on our team. I am delighted to know how much you appreciated the birthday card and treats. We look forward to having you back the next time you are in the Santa Ynez Valley!",4
Meghan Devine,16,,2019-05-31,FAMILY,2020-03-10,5,Favorite place to stay in Solvang!,My family and I have been coming to Solvang since I was a little girl and have been to many of the hotels there and there is no where compared to Hotel Corque. It is an absolute delight. The hotel is extremely clean and peaceful. It’s on a quieter part of the town yet still extremely close to everything. I cannot recommend this hotel enough! Coming back here this month and I am counting the days!,,,,,,,,ScottG3337,General Manager,2020-03-12,"MeghanDWilson,

Awesome 5 star review! We love that you have been a fan for so long! Thank you for taking the time to let us know how much you enjoyed your recent experience with us. Your feedback is so important to us! We work very hard and take great pride in our excellent service. Thanks for mentioning our central location.... close to everything but just out of the way enough to have some peace and quiet when needed. I would love to say hello when you come back this month. See you soon!",36
RevTravel,47,"Kenwood, California",2020-03-31,COUPLES,2020-03-10,5,Elegant spot,"Lovely hotel, great location within walking distance of downtown Solvang and right next to Mission Santa Inez.  They handled some confusion about our check in with great service, which you don’t find everywhere.   Their restaurant next door is exquisite.  ",,,,,,,,ScottG3337,General Manager,2020-03-12,"RevTravel,

We are beyond grateful for the time you have taken to share your positive feedback with us. Thank you for your 5 star review! I'm thrilled to hear you had such a wonderful your experience with us! We do indeed have special restaurant , Root246. I am glad you loved it. We look forward to having you back with us soon.",17
svcager,11,"Simi Valley, California",2020-03-31,BUSINESS,2020-03-09,4,Pleasant Stay,"Stayed overnight for business.  Convenient location, in walking distance of everything downtown.  Lots of parking and staff from housekeeping to front desk were extremely courteous , happy and helpful. Room was nicely sized, took a tip from another traveler and stayed on top floor to avoid footstep sounds from any room above me.  Bedding was nice, pillows good, thick towels, good shower with great water pressure (no tub though), two sinks on opposite side in bathroom so you're not crowding next to each other. Free (SB Roast Co.) coffee on second floor (got my breakfast from Solvang bakery, a one minute walk away).  Mini fridge in room too.  Very pleased with this hotel and perfect centralized location in downtown Solvang.",Request the top floor you&#39;re sensitive to noise.  Wasn&#39;t an issue for me on surrounding rooms either.,4.0,5.0,,4.0,,,ScottG3337,General Manager,2020-03-10,"svcager,

We certainly appreciate you talking the time to leave comments about your recent visit to Hotel Corque! We are delighted to know what a positive and wonderful time you had with us while visiting Solvang. I am so happy you enjoyed all of our hotel amenities.
On your next visit, please make sure to try our restaurant Root246.... its fantastic! With so much to choose from, our guests love it. 
We look forward to having you back with us again soon!",6
Valdiri,82,,2020-03-31,COUPLES,2020-03-07,3,Noise,"This is a nice hotel overall - I liked the soft closing doors.. all hotels should have those.
Problem is the noise.. if you are not on the top floor, expect stomping above you .. it’s not a concrete building so boom boom boom . 
In my case starting early in the morning and at least two hours. 
So if you stay here get the top -3rd- floor. Or stay elsewhere.
Plus the HVAC makes some loud noises as well overnight .
Solvang has many options.",,,,,,,,ScottG3337,General Manager,2020-03-10,"Valdiri,

Thank you very much for taking the time to leave your comments about your recent experience at Hotel Corque. Your comments are very valuable to us. I am certainly sorry to learn that you feel disappointed by noise caused by  guests above you. I too would be frustrated if i was woken up by noise above. This is not a common issue but certainly something that I have addressed with my team. We want to keep Hotel Corque a relaxing, restful property for all guests to enjoy. 
I hope that you will offer us another chance. The next time you are looking to visit the area, I am happy to personally assist with your reservations and ensure you have a better nights rest. That way, more energy for fun the next day! Thank you again. ",99
Val D,207,"Westlake Village, California",2020-02-29,NONE,2020-03-06,5,Stunning in Solvang,"Without a doubt, the nicest hotel in Solvang. The rooms were well appointed with lovely amenities, staff was professional and courteous. Free coffee on the second floor is a lovely treat. Root 246 restaurant was spectacular for cocktails and appetizers in the bar, although we didn't eat dinner there. Plenty of free parking and wifi. This hotel was a home run.",,5.0,5.0,,5.0,,,ScottG3337,General Manager,2020-03-10,"ValD953,

Thank you for your glowing 5 star review. We are delighted to know that you had such a nice time at Hotel Corque while visiting the Santa Ynez Valley. Thank you for mentioning our the service provided by our team....aren't they awesome! Details are how we have become such a well loved property! I love that you had such a great time at Root246! If you enjoyed your apps and cocktails there, wait until you have a full meal. With so many options, all guests love it there!
We look forward to having you back with us again soon for more fun!",55
Yoly M,1,,2020-02-29,NONE,2020-03-05,5,Best Hotel,"Room was beautiful.  Amenities were great: free bottled water, free coffee, refrigerator, bath salts, lighted make up mirror, hair dryer, thick towels, separate shower, separate tub, emergency flashlight, flavored water available at the lobby, coffee, tea, hot chocolate available all day at the mezzanine floor, secured elevators and rooms,  and free shuttle to/fro Chumash Casino.   Staff were friendly and wonderful.  Love the interior of hotel and lobby.  Root 246 is a great restaurant.  Hotel is walking distance to a lot of Tasting Rooms, stores, and restaurants.  Great Hotel in Solvang with reasonable rates.",,5.0,5.0,,,,5.0,ScottG3337,General Manager,2020-03-10,"yolym587,

Your title says it all Thank you for your 5 star review and recommendation! Thank you for taking the time to let us know how much you enjoyed your experience here at Hotel Corque! Your feedback is so important to us! We work very hard and take great pride in our excellent service. I am delighted that you enjoyed our property amenities so much. I am also delighted to know how much you enjoyed our restaurant, Root246. We look forward to having you back with us for more fun soon!",0
Kenneth K,3,,2020-03-31,NONE,2020-03-05,5,The best hotel for us in years,I can't say enough about the wonderful staff at this hotel.  Warm and friendly and always trying to do more for you.  The rooms were so warm and comfortable with 24 hour free coffee service outside our door.  The location is perfect for walking anywhere in town.  Can't wait to return. ,,,,,,,,ScottG3337,General Manager,2020-03-10,"Kenneth K,

Wonderful 5-star review! Thank you! We certainly appreciate you talking the time to leave comments about your recent visit to Hotel Corque! We are delighted to know what a positive and wonderful time you had with us while visiting Solvang. Thank you for mentioning our staff...Aren't they awesome! They work very hard to ensure all guests are taken care of. We look forward to having you back with us again soon!",0
Adventure awaits,24,,2020-02-29,NONE,2020-03-05,4,One night re-visit .....,"It was a quick last-minute decision to visit the local wine country and try the hotel again.   As our first visit wasn't stellar and we had been offered a free night.  The room was fairly identical to our previous, although this one had a balcony overlooking the pool...unfortunately we were not able to take advantage of it.  The room was quiet and adequate..again I don't think we were staying a room that had been recently remodeled.  The pillows were much better this time.",The rooms on the third floor are great!,,4.0,4.0,,3.0,,ScottG3337,General Manager,2020-03-10,"ineverstopexploring,

Thank you for your comments about your recent experience with us. I am very grateful that you returned back to Hotel Corque for another stay. Yes, next time, please make sure you make some time to enjoy your balcony. We have such beautiful views, its hard not to love them.
As far as the design and condition of our property, we are currently planning, and working in real time with a designer, preparing for a renovation! Our hotel will become a shiny new property that I know you will enjoy! From floor to ceiling, all of our rooms, suites, and public areas will be redone. We do have a model room done and its fantastic! I am sure you will love it when you see it!
We look forward to having you back with us again soon.",6
Kimberly M,4,,2020-03-31,NONE,2020-03-04,5,Pleasant Surprise!,This hotel worked out to be a nice option and I felt was reasonably priced. The service level was excellent--very friendly helpful front desk staff. I think this is probably an older property that was redone and I thought the rooms were nicely appointed and well done. The hotel has ample parking and is walking distance from all the great shops and restaurants in Solvang.,,,5.0,,,5.0,5.0,ScottG3337,General Manager,2020-03-05,"KimberlyM1691,

Wonderful 5-star review! Thank you very much for taking the time to leave your comments about your recent experience with us! Thank you for your compliments about our team and the service we provide. I am happy you found your room design so enjoyable! If you love us now, just wait.... we are planning a property-wide refresh. New designs and all new rooms. Its going to be awesome! Our location stays the same. Just a few steps from all the action and city-center.
We look forward to seeing you again for another stay the next time you are in the Santa Ynez Valley!",0
