username,contributions,location,staydate,triptype,reviewdate,overallrating,revtitle,reviewtext,roomtip,value,service,sleepquality,locationrev,rooms,cleanliness,responder,responderposition,responsedate,response,helpful
chrittonk,1,,2021-11-30,FAMILY,2021-11-11,5,Family fun!,We had a great stay. Perfect for a family with young kids. We loves that we were in walking distance of the park and restaurants- even close enough to being the toddler back for mid-day naps. Made for a great trip overall. ,,,,,,,,,,,,0
Catdaddeh,69,"Albany, Oregon",2021-11-30,NONE,2021-11-11,4,Disney November 2021,"Nice, clean and friendly place to stay while visiting the parks! We stayed for a week and found the staff helpful and available. The wifi service was screwed up twice and the service called was less than helpful (the staff at the hotel were not responsible for the idiocy of the wifi call in center)",,4.0,5.0,,,,5.0,Hojo Anaheim,Guest Services / Front Office,2021-11-11,"Thank you for taking the time to review your stay with us! We are delighted to hear that you had a pleasant experience with our staff during your stay. Our team is dedicated to providing a 5-star experience to all of our guests, so we are happy to know we were successful. We are sorry to hear that you experienced difficulties with our WiFi Support Center. We will let our Technical Support Manager know about this instance so it can be addressed for the future. Thank you again for your  feedback, and we hope you will keep us in mind for your next visit to the Anaheim Resort area!",15
Jessica_Wardrake,1,"Huntsville, Alabama",2021-10-31,NONE,2021-11-11,5,Loved it here,"Loved this place, good lighting, spacious room and really clean. They have alittle store down stairs that you can buy stuff you forgot (Advil in my case) but they had alot of stuff you could easily forget. We loved the front desk staff and the walk to Disneyland was awesome I have already recommended this place to several friends and when we return to California we will stay here again. Thanks for a great visit!",,,,,,,,,,,,0
kimberlypat2021,1,,2021-11-30,NONE,2021-11-09,4,Disney Stay 2021,"The location was fantastic. The water park water was freezing, but other than that, it was great for my 5 year old. We stayed in the updated tower with a view of fireworks. Wish housekeeping was able to clean the rooms daily. We had a build up of towels and trash. ",,,,,,,,,,,,0
sarahvig,1,"Salt Lake City, Utah",2021-11-30,NONE,2021-11-09,5,"Cute water playground, friendly staff and clean rooms.",The hotel was updated and very clean. It had a place for laundry and the castaway cove was a hit. My girls loved the slides. It was a close walking distance to Disneyland park with them in the strollers about 10-11 minute walk. ,,,,,,,,,,,,0
RNDberry,1,,2021-11-30,NONE,2021-11-08,5,Perfect Disney overnight stay,Clean and spacious rooms. We are a family of five had plenty of room. The front desk staff was great making sure we had a rollaway for our room and were super friendly. We will definitely book our next Disney trip room here again!,,,,,,,,,,,,0
vnophsker,1,"Austin, Texas",2021-11-30,NONE,2021-11-08,5,Love this place,We loved our stay. The staff was amazing and so kind and accommodating. Everything was super clean and we loved the water area! The convenience of the location made it so easy to walk to Disney and not need to rent a car.  ,,,,,,,,,,,,0
ycalderon0211,1,"Fresno, California",2021-11-30,NONE,2021-11-08,5,Excellent stay!!!!,This hotel met all of our expectations. Location was perfect and across the street from Disneyland. The room was clean and beds were comfortable. Castaway cove was perfect for our little ones to splash around in. ,,,,,,,,,,,,0
pzgambles,1,,2021-10-31,NONE,2021-11-03,5,“Happiest Place To Stay”!,"Howard Johnson Anaheim was excellent! The grounds and the property we’re beautiful. The service from all employees, from front desk to housekeeping to gift shop and more was also excellent ! 
Highly recommend staying here and will definitely stay again when back in the area! ",,,,,,,,Hojo Anaheim,Guest Services / Front Office,2021-11-04,"Thank you for taking the time to review your stay with us. We are very happy to hear that your family enjoyed our charming grounds and had pleasant experiences with our friendly staff! Our team is dedicated to providing excellent service, and we work very hard to maintain our properties appearance. It's great to know that we have been successful in our pursuits, and we appreciate you letting us know! Thank you again for your feedback, and we look forward to your next visit to our hotel.",0
Janay90,1,"Citrus Heights, California",2021-10-31,NONE,2021-11-02,5,Amazing!,Perfect spot for our family trip! We stayed at a hotel halfway on our drive to Disneyland & my daughter (3) hated it. She actually cried and asked to go home. We checked into HOJO the next day and she was so happy! She loved the room & the waterslides. ,,,,,,,,Hojo Anaheim,Guest Services / Front Office,2021-11-03,"Thank you for taking the time to review your stay with us. We are delighted to hear that your family enjoyed our rooms and water playground! We are happy that you did not end up going home, and that your daughter's mood towards the trip turned around once arriving. Our team is dedicated to providing a 5-star experience for all of our guests, so we are glad to know we were successful. Thank you again for your feedback, and we hope you will keep us in mind when planning your next trip to the Anaheim Resort area!",0
laurenurban17,1,"Reading, United Kingdom",2021-10-31,NONE,2021-11-02,5,Above and Beyond,Our stay at HJ was wonderful. The staff was beyond accommodating and the facilities were well kept. They were able to get us an early check in so our son could take a nap before a long day at Disneyland. I would recommend HJ to everyone visiting Anaheim!,,,,,,,,Hojo Anaheim,Guest Services / Front Office,2021-11-03,"It's great to hear that your family had a wonderful stay with us! We are delighted to hear that you enjoyed our friendly, accommodating staff and our clean facilities. Our team is dedicated to providing a 5-star experience to all of our guests, so we are happy to know that we were successful. Thank you for reviewing your stay with us, and we hope to see you again during your next trip to the Anaheim Resort area.",0
rservello,1,,2021-10-31,NONE,2021-11-02,5,A wonderful stay,"The staff was so nice and got our room ready a little early (we arrived earlier than we expected and had two small children not happy about waiting). We had signed up for the pool the next day, but it ended up being overcast and too cold, but they let us stay in the parking lot past checkout so we could hit downtown disney and get lunch and souvenirs free of charge. We will def be coming back for future trips :)",,,,,,,,Hojo Anaheim,Guest Services / Front Office,2021-11-03,"Thank you for taking the time to review your stay with us. We are delighted to hear that your family had a great experience with our friendly Front Desk Staff! Our team is dedicated to providing a 5-star experience to all of our guests, so we are happy to know we were successful. Thank you again for your feedback, and we look forward to your next visit during your next trip to the Anaheim Resort area!",0
amandalstanton2001,1,,2021-10-31,NONE,2021-11-02,5,Amazing property. Good service.,"We really enjoyed our stay here. We were only here for a weekend, so practically slept at the resort, but the check in process was so smooth, and the check out process was as well the room was clean and had a very cute theme. Kiddos would think they’re staying right in Disney. And the walk to Disney was only about 5 minutes, with lots of spots to eat nearby. Would definitely stay again, and for the price they charge it was well worth it. ",,,,,,,,Hojo Anaheim,Guest Services / Front Office,2021-11-03,"Thank you for taking the time to review your stay with us. We are happy to hear that your family enjoyed our clean rooms and proximity to local amenities! Its great that our staff was able to provide you with a smooth check-in and check-out. Our team is dedicated to providing a 5-star experience to all of our guests, so it's wonderful that your family experienced this as well! Thank you again for reviewing your stay, and we hope to see you again during your next trip to the Anaheim Resort area.",0
Wanderer68238921188,2,"Oakland, California",2021-10-31,NONE,2021-11-02,5,Great hotel for a Disney get away,"We stayed for 6 nights and 5 days of Disney. The room was great, the facility was great and it was a short walk to the parks. Thanks to the soundproofing for the balcony we didn't even hear the freeway nearby. The staff at check-in and check-out were great.",,,,,,,,Hojo Anaheim,Guest Services / Front Office,2021-11-03,"We greatly appreciate your feedback on your stay, and are glad to hear that your family enjoyed our proximity to local amenities, soundproofed windows in your room, and friendly staff! Our team is dedicated to providing a 5-star experience to all of our guests, so we are delighted to know we were successful. Thank you again for reviewing your stay, and we hope you will keep us in mind when planning your next trip to the Anaheim Resort area.",0
jarimo2,1,"Castaic, California",2021-10-31,NONE,2021-11-01,5,Great location,Great hotel! Great Location! Short walk to Disneyland! Our room faced the Matterhorn so you could see the firework show. Newly renovated and friendly staff! Pools are the best!  Will definitely stay here again,,,,,,,,Hojo Anaheim,Guest Services / Front Office,2021-11-04,"Thank you for taking the time to review your stay with us. We are delighted to hear that you enjoyed everything about your time with us! Our team is dedicated to providing a 5-star experience to all of our guests, so we are happy to know we were successful. Thank you again for your feedback, and we look forward to your next stay with us!",0
talialangmo,1,,2021-10-31,NONE,2021-11-01,4,Wonderful Family hotel,"Recently stayed a few nights with my husband, newborn and 2 year old. It was a wonderful experience. The staff was incredibly friendly and helpful. We loved the “waterpark” area for our 2 year old and it was only about a 10 min walk that felt like 5 to Disneyland. The only negatives was having to book a reservation for the waterpark and pool. Maybe that’s a covid thing? Also, the waterpark water was VERY cold. We never made our pool time but I read it was heated. Overall we would come back and recommend it. ",,,,,,,,Hojo Anaheim,Guest Services / Front Office,2021-11-05,"Thank you for taking the time to review your stay with us. We are delighted to hear that your family enjoyed our friendly staff, water playground, and proximity to Disneyland. It is disappointing to hear that you had issues with the pool reservation system. We have kept our pool reservation system in place to deter over-crowding in the water facilities so all of our guests can enjoy at a safe distance. We are also sorry to hear that the water was cold. We do heat both of our pool facilities, but since the water playground has running water, sometimes it becomes colder than the temperature we heat it to. Thank you again for your feedback, and we hope to see you again during your next trip to the Anaheim Resort area!",0
TRACY B,3,,2021-10-31,NONE,2021-10-30,5,Still the best hotel in Anaheim,I’ve been coming to this hotel over 35 years. I won’t say I’m thrilled with how much room prices have gone up but the newly renovated rooms and the grounds and the short distance to the parks makes it worth the extra money. The television now has app capability You Tube HBO Max and Netflix. The swimming pool towels need to be bigger they are much smaller than they used to be. Hotel still needs some ADA attention. No automatic doors and room Key was needed fir entry into all areas. ,,,,,,,,Hojo Anaheim,Guest Services / Front Office,2021-11-05,"Thank you so much for your feedback on your stay and for your patronage! We are happy to hear that you've enjoyed our well kept grounds, proximity to Disneyland, and rooms all these years. We appreciate your assessment of our pool towels and ADA accessibility, and will be bringing these comments to our management team's attention for further action. We are always looking to upgrade and improve upon what we already have in place. Thank you again for reviewing your stay with us, and we look forward to your next visit!",1
duemgucdhf,1,,2021-10-31,NONE,2021-10-29,5,Disney Gem,"This hotel is extremely clean, roomy and quiet.  Walking distance to Disney takes about 5 min.  Close to restaurants, coffee and stores.  Room amenities include fridge, microwave, luring, wonderful set up of shampoo & body wash.  Bathroom is roomy and clean.  Received extra blankets, towels and cups within minutes of request.  We heard no one at night or even in the day.  This was our 2nd stay and we will return.  ",,,,,,,,,,,,0
kellidickinson,1,"Fairfield, California",2021-10-31,NONE,2021-10-29,4,Family vacation,The hotel was very good. The staff was helpful and friendly. It was great to stay close to Disneyland so we could walk. It was nice to relax in the pool and water slides. I would definitely choose it again if traveling with children.,,,,,,,,,,,,0
janaseitzer,15,New York,2021-09-30,BUSINESS,2021-10-28,5,Great property with even better proximity to Disneyland,I love staying at the Howard Johnson by Wyndham Anaheim Hotel and Water Playground when I’m going to Disneyland Resort. It’s a great property with many newly renovated rooms and a quick easy walk to the parks. The water park is perfect for kids/families especially on a day you might take a break from the parks.,,,,,,,,,,,,38
Monique f,63,"New York City, New York",2021-10-31,FAMILY,2021-10-28,4,Family Fun!,"I really enjoyed my stay here,  I stayed for 5 nights with 3 children ages 13, 8 & 3. I would've gave it 5 stars, however there aren't any restaurants on sight. Even though no restaurants are on sight,  other dining options are extremely close. My room was spotless when I entered.  The check in staff were very accommodating. I had an issue with my card & a manager on-site was able to assist,  which made my check in seamless.  Also when purchasing something from the gift shop Stephanie the cashier was extremely helpful!! She made me feel like family😊 Her interaction reminded me of the hospitality I receive when stay on Disney world property.  Again Thanks Stephanie! My children loved the water playground as well as I! Disneyland is within walking distance & I will definitely consider this property again!",,,,,,,,Guest Services,Guest Services / Front Office,2021-11-02,"Thank you for taking the time to write a review of your recent stay with us. We are so pleased that you enjoyed your stay with us and that you were able to go to nearby restaurants.  Our team is dedicated to provide exceptional service, so we are delighted to hear that Stephanie made you feel like family while staying with us and that our manager was able to quickly fix the card issue. We hope you do consider staying with us again for your next Disneyland trip.",9
dballardcdc,1,,2021-10-31,NONE,2021-10-26,5,Excellent Disneyland Hotel Choice,"We have stayed in many hotels that are close to Disneyland.  The Howard Johnsons hotel did not disappoint.  The rooms were large and spacious.  The pools were very fun for out little ones.  We often do not come back to out hotel during the day however, during our stay at the HoJo we went back to swim at their darling pirate pool each of our five days.  The walk from the hotel to Disneyland is a very easy walk even for little ones.  I would highly recommend this hotel to any family.  Have Fun!!!",,,,,,,,Guest Services,Guest Services / Front Office,2021-10-27,Thank you for taking the time to review your recent stay with us. We are so glad to hear that you and your family had fun at our pools and enjoyed staying at our hotel. We love that the walk to Disney was short enough for you to come back during the day to swim and that you would recommend our hotel to your family.  We hope you stay with us for your next Disneyland trip.,0
Karen B,4,"Jackson, Wyoming",2021-10-31,NONE,2021-10-26,4,Great location,"This was literally next to a row of easy food options, as well as a 5 minute walk to Disney. The only thing I would say is the pool is for sure focused on younger kids. I picked this hotel based on the pool, so I was a tad dissapointed, but everything else was top notch. ",,,,,,,,Hojo Anaheim,Guest Services / Front Office,2021-10-28,"Thank you for taking the time to review your stay with us. We are delighted to hear that you enjoyed our close proximity to local amenities and attractions! While our pool facilities are designed to be kid and family friendly, we understand that they are not for everyone. We will pass your comment along to our management team for consideration in future renovation planning. Thank you again for your feedback, and we hope you will keep us in mind when planning your next trip to the Anaheim Resort area!",1
spang96,1,"Seattle, Washington",2021-10-31,NONE,2021-10-25,5,Loved this hotel!,"We visited the hojo for a recent Disneyland trip! Loved it! Staff was great, beds were super comfy, the art work so cute and the location to the park was fantastic! We will definitely be back. I think we have finally found our go to hotel! ",,,,,,,,Hojo Anaheim,Guest Services / Front Office,2021-10-26,Thank you for taking the time to write a review about your recent stay with us. We are so glad to hear you appreciated our location and exceptional service. We really appreciate you taking the time to let us know about your stay. We hope to be your first choice for accommodations when planning your next Disneyland vacation!,1
theratherts4,1,,2021-10-31,NONE,2021-10-25,3,"Nice hotel, wonderful family suite but dirty and terrible pool schedule.","We stayed in the family suite which was wonderful as far as space.  All 3 kids and parents were very happy.  We were disappointed with toothpaste all over the walls, door, mirrors and art in the bathroom as well as splatters of something on the mirrors in the main room.  We informed the front desk and someone came in and cleaned the bathroom mirror but the rest remained.  The most frustrating thing was the pool schedule.  I understand needing to schedule pool time due to covid but the pre set 2 hour windows with half hour breaks in between were ridiculous!  None of the times were when we wanted to go to the pool and when we finally did get to the pool with only 45 minutes left in the current session we were kicked out (actually woken up from a delightful snooze in the sun) at the end when there wasn’t even another family in the pool area.  I stayed outside to see what kind of magic the lifeguard ( gate police) were doing during that half hour and I saw them straighten a couple chairs then sit in the sun.  I was furious that I had to schedule my relaxing time when I had paid a premium for a hotel with a nice pool and we really couldn’t even use it.  Maybe this was necessary in the summer if it was packed but when we were there the busiest I ever saw it was 3 families.  Because of the pool situation I will not stay at the Howard Johnson again and will not recommend it to others.  ",,,,,,,,,,,,1
TravelingCircus2021,1,"Saint Louis, Missouri",2021-10-31,NONE,2021-10-25,5,Great location. Great for families.,"Stayed in the 2-bedroom suite, one for parents, and one with bunk beds and a pull out couch bed for kids. Plenty of great space for the entire family. A fun splash-pad and only a 10 minute walk to Disneyland. Highly recommended.",,,,,,,,Hojo Anaheim,Guest Services / Front Office,2021-10-26,Thank you for taking the time to write a review about your recent stay with us. We are so glad to hear you appreciated our location. We are so delighted you found our rooms comfortable and that your kids got to enjoy our fun water playground. We really appreciate you taking the time to let us know about you stay. We hope to be your first choice for accommodations when planning your next Disneyland vacation!,0
kathyha619,1,,2021-10-31,NONE,2021-10-25,5,Great Stay!,"Nothing better than walking 10 minutes back to your hotel after a 14+ hour day at Disney! Loved the  coffee maker in the room, and the mini mart downstairs was super convenient! Overall enjoyed my stay and I will definitely be coming back!",,,,,,,,Hojo Anaheim,Guest Services / Front Office,2021-10-26,"Thank you so much for your kind comments and great feedback.  We are so glad you enjoyed our location after a long day at Disney, as well as the convenience of our Gift Shop.  We hope to be your top choice for accommodations when planning you next Disneyland vacation.",0
