username,contributions,location,staydate,triptype,reviewdate,overallrating,revtitle,reviewtext,roomtip,value,service,sleepquality,locationrev,rooms,cleanliness,responder,responderposition,responsedate,response,helpful
David M,45,"Concord, California",2021-11-30,NONE,2021-11-20,5,Great service; great views; easy to get to.,The title of this review says it all. One of the most relaxing places to visit. The room was very large with plenty of space - not overly crowded with extraneous furniture. All amenities one could want are provided. About 100 yards from a very good seafood restaurant.,,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-25,"Thank you for your great review.  I am happy that we were able to provide you with satisfying amenities and a relaxing stay.  Come back and be our guest for another pleasurable visit.

With Hospitality,
Lulu Lawag
Guest Services Manager",30
860giap,6,,2021-11-30,NONE,2021-11-20,5,Best place to stay,"We loved the hotel. The room was extremely clean, beds were comfy. The staff was nice and polite. What we loved the most was the grounds and the views from the room. Plus all the walkways and the ocean views. Loved that is a pet friendly hotel, thank you for that. ",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-25,"Thank you for choosing to stay at our hotel.  We appreciate you letting us know that you enjoyed your visit.  We look forward to welcoming you and your four legged friend back the next time you are in the Central Coast area.

With Hospitality,
Lulu Lawag
Guest Services Manager",0
946rajata,42,"Cupertino, California",2021-11-30,NONE,2021-11-17,4,Wonderful place for family vacation,"We stayed there with family. It was a wonderful trip.
The staff is kind and very family.
Nice location.
Good rooms.
Ocean view rooms are a delight.
Close to the Pismo beach pier, outlets and starbucks.

",,4.0,4.0,4.0,5.0,4.0,4.0,Lulu Lawag,Guest Services / Front Office,2021-11-21,"Thank you for such a wonderful review.  We are so happy you had such a memorable trip at our Shore Cliff Hotel.  Please come back again soon!

With Hospitality,
Lulu Lawag
Guest Services Manager",43
Quest60774361361,1,,2021-11-30,NONE,2021-11-17,5,GETAWAY,"The Shore Cliff is our go-to destination when we want a quick trip to the coast. the accommodations are clean, comfortable, and tactfully decorated. The grounds with the walking areas, Bocce Ball court, and Gazebo on the bluff are very nice. The service has always been efficient and courteous. The location is great.  ",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-21,"Thank you for your wonderful review of our hotel.  Your comments are great to hear.  We are glad you enjoyed your stay once again.  We look forward to your return.

With Hospitality,
Lulu Lawag
Guest Services Manager",0
victoriadorado55,1,,2021-11-30,NONE,2021-11-16,5,Amazing,my friends and I decided to get away for a weekend and decided to stay at the Shore Cliff Hotel. I have to say it definitely exceeded all of our expectations. The view was undescribable and the pool was definitely the best pool out of all the hotels in Pismo Beach. The staff was so kind and nice even the ladies serving breakfast. The hotel was clean and the beds were amazing. 10/10,,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-21,"Wow!  Thank you for such a wonderful review.  We’re happy you enjoyed your weekend getaway here so much.  Our staff works hard to provide the best customer service possible.  We appreciate you for mentioning them.  We look forward to having you stay with us again.

With Hospitality,
Lulu Lawag
Guest Services Manager",0
rallen958,1,"San Diego, California",2021-11-30,NONE,2021-11-16,4,Anniversary weekend,"We had a great time, nice large room with a great full view of the ocean and wonderful sunsets. 
The location is great right off the freeway easy access to the down town area. The continental breakfast was above average, with eggs, bacon, fruit etc. We would consider booking this hotel again. ",,4.0,4.0,4.0,4.0,4.0,4.0,Lulu Lawag,Guest Services / Front Office,2021-11-21,"Happy Anniversary!  Thank you so much for taking the time to leave such a nice review.  We are pleased that you enjoyed your stay so much and are considering coming back.  We hope to see you again.  

With Hospitality,
Lulu Lawag
Guest Services Manager",0
Caligalmichelle,1,"San Luis Obispo, California",2021-11-30,NONE,2021-11-16,5,Beautiful Anniversary Stay!,"The setting, location, views, rooms, staff, continental breakfast... could not have asked for a more romantic cost-friendly, relaxing, beautiful stay in Pismo Beach! HIGHLY recommend Shorecliff for a couples get-away 🤗",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-21,"Thank you for your amazing review!  We are very pleased that you had such a wonderful anniversary and romantic get-a-way.  We hope you think of us for your next special getaway!

With Hospitality,
Lulu Lawag
Guest Services Manager",0
molinafamily90,1,"Atwater, California",2021-11-30,NONE,2021-11-15,5,The Perfect Getaway Location!,"We celebrated our wedding anniversary getaway and couldn't been happier that we picked the Shore Cliff hotel. Everything from A-Z was perfect! I would HIGHLY recommend staying there. We will be back! The location, the view, the grounds, the pool, staff was exceptional.",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-21,"Thank you for choosing to stay with us and sharing your review!  The staff at the Shore Cliff Hotel are pleased that you picked our hotel to celebrate your special day.  We are so happy you found everything perfect.  We can’t wait for you to return!

With Hospitality,
Lulu Lawag
Guest Services Manager",0
jakim1113,7,,2021-11-30,NONE,2021-11-14,5,Anniversary Overnighter,"Really was impressed with the location, room views and cleanliness of this hotel. It was a perfect overnight location for a quick romantic getaway.

We drive for Los Angeles, so it was a 2 3/4 hour drive, but through some nice areas.  On our way, we were arriving a bit early, so I called from the car and requested an early check-in. Although the hotel was at capacity, Tina took my name an number, to let me know if they could accommodate. Approximately 45 minutes later, I received a call that our room was ready.

We arrived and checked in quickly. We were able to get a quick nap from our drive.

Thw room was very spacious.  We were pleasantly surprised to see robes in the closet.  The room had a “large” mini fridge, microwave and sink.

A couple of complimentary bottled waters and a room safe.  The bathroom had lots of towels and all the amenities.

We never had to ask for a thing during our stay.

All of the staff, including housekeeping were friendly and seemed to be working diligently.

We were going to plan our trip to Coronado, but didn’t want to deal with the traffic.  So glad we went to Pismo!

We would highly recommend as a quick getaway from LA.",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-20,"Happy Anniversary!  Thank you for your incredible review.  We are so happy you found our hotel met all of your needs so well.  It was our pleasure to have you as our guest.  We are glad you came here instead of going to Coronado and we hope you will return soon!

With Hospitality,
Lulu Lawag
Guest Services Manager",1
Jennifer O,8,,2021-11-30,NONE,2021-11-14,5,"Beautiful view, relaxing stay",I highly recommend this hotel. The views from the room and property are gorgeous. A decent breakfast is included. The rooms are spacious and comfortable.  The balcony attached to the room was awesome. We could sit there and watch the sunset.,,,,,,,,Lulu Lawag,Guest Services / Front Office,2021-11-20,"Thank you for taking the time to review our hotel.  We are happy you enjoyed the views from the room, balcony and property.  The sunsets here at the Shore Cliff are certainly stunning.  Thank you for staying with us and we look forward to your return.

With Hospitality,
Lulu Lawag
Guest Services Manager",8
applejax10,20,"Wenatchee, Washington",2021-11-30,NONE,2021-11-14,5,Pismo Relaxation,"This is a great hotel enjoyed the 2 Bedroom suite. The kitchen is small, but we were eating out anyway. the morning tamales and scrambled egg breakfast was very good. the room has a great view on the balcony although some can get hot..",,4.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-20,"Thank you for taking the time to write a review.  We are excited that you enjoyed your suite and the views it offers.  We’re also glad you liked the breakfast.  We hope you stay with us again, soon!

With Hospitality,
Lulu Lawag
Guest Services Manager",2
rmspallone,1,,2021-11-30,NONE,2021-11-14,5,Great weekend stay,"Fantastic hotel, great views, comfortable and clean! Long walking paths to town, beach was breathtaking. Nice breakfast each morning, very friendly staff. The pool was lovely, the grounds wer well kept and clean.",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-20,"Thank you for your amazing review of our property.  We are so happy you enjoyed your stay at our Shore Cliff Hotel.  
I definitely agree that the views are breathtaking here.  We’re glad you were able to enjoy the breakfast and the surroundings.  We look forward to your next stay.

With Hospitality,
Lulu Lawag
Guest Services Manager",0
josefinagriffin4,1,"Lompoc, California",2021-11-30,NONE,2021-11-12,5,Excellent location and value,"I looked at lots of hotels online. Most of them charge extra for the ocean view. What grabbed my attention was the advertised, every room has a view which ended being true. Nice balconies with beautiful ocean views. Loved the hotel and cleanliness, will definitely recommend. ",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-19,"Thank you for choosing to stay at our property.  We’re so happy that you loved our hotel and the amazing ocean views.  Thank you for recommending us and we hope you will stay with us again soon.

With Hospitality,
Lulu Lawag
Guest Services Manager",0
Wendy M,1,"Santa Cruz, California",2021-11-30,NONE,2021-11-11,5,Incredible,"I booked this hotel for a birthday trip to Pismo beach and San Luis Obispo. When we arrived at the hotel we had been assigned a room without an ocean view. My son asked the receptionist if we could change our room to one with a view of the ocean. The receptionist went to work finding us a beautiful room on the third floor looking out towards the ocean. It was beautiful!!   The beds were incredibly comfortable, the room spotless the bathroom was as big as my studio apt back home.  There was a microwave, mini fridge and sink. The staff were super nice. The free breakfast was even impressive. To top it off I'm a lover of Pelicans and other sea birds. The pelicans used the cliffs near the Gazebo (located a short walk from the hotel) as a place to roost at night. I was up early in the morning, walked to the Gazebo and found myself a few feet from them. It was delightful seeing them take off one after another gliding over the sea. I will definitely stay here again when I visit this area.  I really love Morro Bay, Pismo Beach and San Luis Obispo and this hotel is close to all of those areas.  ",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-19,"Thank you for your wonderful review!  We are happy we found a room for you that you loved so much.  We always try our best to make sure our guests are happy and satisfied.  We appreciate your kind comments about our staff and cleanliness of the room.  It’s great that you were able to watch the pelicans and other birds frolic in the ocean and on the rocks.  We look forward to your next stay with us!

With Hospitality,
Lulu Lawag
Guest Services Manager",0
lyzzied2021,1,,2021-11-30,NONE,2021-11-09,5,Great location and people,Very welcoming staff and they were super helpful with our stay. Location is great because of the excellent ocean view and walkable to the Ventana Grill for takeout or a nice lunch/dinner. Getting down to the beach does require walking a bit farther down the cliff to get to the stairs. ,,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-15,"Thank you for your feedback.  I am delighted to hear that you enjoyed your visit to our property and we all can't wait to welcome you back for another great visit.

With Hospitality,
Lulu Lawag
Guest Services Manager",0
chelleboardman,1,"Waxhaw, North Carolina",2021-11-30,NONE,2021-11-09,3,Smelly Birds,"Apparently the Pelicans have decided to nest on the cliffs and no longer further north, which now makes this hotel very smelly and bird droppings are a problem.  The weather was cool, long sleeves and sweatshirt for most of the day unless you get a room with the sun shining on the balcony, its too cold to sit out there and enjoy the view.",,3.0,3.0,3.0,3.0,3.0,3.0,Lulu Lawag,Guest Services / Front Office,2021-11-15,"Thank you for your review.  I am sorry to hear that the Pelicans and other wildlife in our locations sanctuary gave off an unpleasant odor.  Although, the Pelicans migrate to our location they don't always leave at the same time. 
The next time you plan on coming to the Central Coast give us a call so we can assist you with a great location where the sun would be more pleasant.  Hope to see again soon!

With Hospitality,
Lulu Lawag
Guest Services Manager",0
grankidsrus,1,,2021-11-30,NONE,2021-11-09,5,"Happy, returning customer","Our group stays here every year for our couple’s retreat and everything is always consistently excellent. That’s why we always return. Check in, check out, breakfast, rooms, service - everything is exactly as it should be. ",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-14,"Thank you for sharing your review.  I am happy you continuously stay with us for your couple's retreat every year.  It is always a pleasure welcoming back familiar facing.  We look forward to welcoming you back next year.

With Hospitality,
Lulu Lawag
Guest Services Manager",0
katherinemG1431NS,3,,2021-11-30,NONE,2021-11-08,5,Exceeding our Expectaions,My husband & I agree that the room amenities which include the benches at the foot of the bed led to a comfortable stay! The exterior of the hotel is dated but the room is clean & updated. The ocean view is beautiful!! The breakfast is delicious & the dining area is kept very clean. ,,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-13,"Thank you for sharing your feedback about your recent visit.  I am delighted to hear that you and your husband enjoyed your stay and that we exceeded your expectations.  Give a call the next time your are planning to visit the Pismo Beach area.  We would love to assist you with your next stay.

With Hospitality,
Lulu Lawag
Guest Services Manager",0
Lmarie330,14,"Bakersfield, California",2021-11-30,NONE,2021-11-06,5,My Mom’s Birthday Getaway,We love it here! Rooms are cozy and clean. Everyone is nice and helpful! Celebrating my Mom’s 82nd birthday! This is her happy place! We’ll definitely be back and we highly recommend! Come check it out!,,,,,,,,Lulu Lawag,Guest Services / Front Office,2021-11-13,"Happy Birthday to your Mother!  Thank you for choosing to stay with us and celebrating your Mom's special day here.  I am happy to hear that this is her happy place.  

We appreciate you highly recommending us to future tourists to our Shore Cliff Hotel.  We look forward to welcoming you back again, soon!

With Hospitality,
Lulu Lawag
Guest Services Manager",16
PAT,3,,2021-10-31,NONE,2021-11-05,5,Eureka- nailed it!,"I did a lot of online research to plan a long weekend trip to Central CA beach area that was within about a 5 hour drive from San Diego where we live.  We chose Pismo Beach because of its proximity to the sand dunes in Oceano (which we really wanted to see) as well as San Luis Obispo, Morro Bay and Paso Robles.  Pismo Beach turned out to be the perfect location.  Once we settled on Pismo Beach I did an extensive online search for our hotel.  This was a special birthday trip so I wanted to find a hotel that was right for this occasion. I wanted an upscale room with an ocean view and also a good breakfast included.  We also wanted to be able to bring our dog, but did not want to have to sacrifice hotel room quality or beauty, which can be the case for many hotels offering dog friendly rooms. We also wanted easy access to walking trails to walk our dog.   Shore Cliff Hotel seemed to satisfy all of these requirements so I booked us for 4 nights.  You know that feeling of trepidation when you first arrive at the hotel you have selected online?  Will it be as nice as I anticipated?  Well, Shore Cliff Hotel certainly met our expectations and much more. Our room was quiet, other than the sound of pounding waves which was great!  Walk through the lobby and right behind the hotel is a fantastic  walking trail that skirts the ocean bluffs. And the complimentary breakfast was excellent with plenty of variety of both hot and cold food including make your own waffles and home made tamales.  It was so nice that we decided to extend our stay and will certainly return.  Eureka - I nailed it finding Shore Cliff Hotel.",,,5.0,,,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-13,"Thank you for taking the time to provide us with your feedback about your recent stay at our hotel.  I am happy to hear that you had a pleasant experience with your family, including your fur baby, at our Shore Cliff.  
We appreciate you choosing to stay with us and we look forward to welcoming you back in the near future.

With Hospitality,
Lulu Lawag
Guest Services Manager",0
Starhnt805,1,"Santa Barbara, California",2021-11-30,NONE,2021-11-04,4,We like this place alot,"We generally like a place with a porch, balcony, and that’s quiet so this is great for us. The bf area is very clean and everyone is extremely nice. Great pillows and bedding smells clean. We like that we have a little grassy area and the gazebo looks beautiful at sunset",,,,,,,,Lulu Lawag,Guest Services / Front Office,2021-11-13,"Thank you for choosing to stay with us.  I am delighted that you enjoyed your visit to our hotel.  We all appreciate your positive feedback and look forward to welcoming you back for another great stay.

With Hospitality,
Lulu Lawag
Guest Services Manager",0
Petula,2,,2021-10-31,NONE,2021-11-04,5,Relaxing Visit!,"As well as the amazing views, the friendly services at the Shore Cliff makes your getaway free & easy to relax and enjoy! From check-in, room service, breakfast buffer to check out- I feel valued as a guest. 
 My 6th stay at the property and I will be returning.  Thank you Breakfast Staff- love the tamales! ",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-08,"Thank you for sharing your positive feedback of your most recent stay.  I am humbled to hear that you have returned to our hotel on numerous times and plan to come back again.  We appreciate your trust and loyalty in our staff and property.  We look forward to welcoming you back for another relaxing visit.  Until next time, take care!

With Hospitality,
Lulu Lawag
Guest Services Manager",0
Linda A,1,,2021-10-31,NONE,2021-11-01,5,Satisfied Stay,"Very nice staff and excellent service. Rooms were very nice and clean, located in a perfect area. Room service when call came right after we called. Continental breakfast was very nice and came in handy to start our day. Would recommend staying here to anyone who is looking for great staff, service and clean rooms. Great place to stay for a relaxing time!",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-06,"Thank you for providing us with your review of your recent stay.  I am delighted to hear you had a satisfying stay at our property.  We appreciate you recommending our hotel to up coming travelers to our Shore Cliff Hotel.  We look forward to welcoming you back for another relaxing visit!

With Hospitality,
Lulu Lawag
Guest Services Manager",0
Arbie1151,1,,2021-10-31,NONE,2021-11-01,5,Best vacation location,"I had a great experience staying in the two bedroom suits, great location, great view, good breakfast, Room was really clean, a TV for each room, clean sheets and clean towels, clean bathrooms, and high quality bath shampoo, soap, overall great experience, I will back soon for longer.",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-06,"Thank you for sharing your 5 star experience with all of us!  I am super excited to hear that you enjoyed your stay in our two bedroom family suite.  I can't wait to welcome you back for another fantastic visit.

With Hospitality,
Lulu Lawag
Guest Services Manager",0
mpaule508205,1,,2021-10-31,NONE,2021-10-31,5,Exquisite View from our Ocean View Room,"The beds were very comfortable,  decent breakfast, loved the shower head but was most  impressed by the view from our room.  Also loved that there was plenty  of beautiful areas to walk.  Also was nice that the paths continued past other hotels.  Also loved that it was walking distance to Ventana grill.",,5.0,5.0,5.0,5.0,4.0,3.0,Lulu Lawag,Guest Services / Front Office,2021-11-04,"Thank you for sharing your review with us!  I am happy to hear that you enjoyed your stay at our Shore Cliff Hotel.  We look forward to welcoming you back for another great visit to the central coast.

With Hospitality,
Lulu Lawag
Guest Services Manager",0
cathyqyp,1,"San Jose, California",2021-10-31,NONE,2021-10-25,5,Good location and service,"We have a family vacation weekend at shore cliff hotel. The location is great, close to beaches and other attractions in pismo beach. We got a ocean front room and the cliff and ocean is right there after we open the patio door. It's such a nice view. Room is nice and clean, we also enjoyed the warm pool. My little son enjoyed his first out of home vacation here and he was so happy.",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-10-29,"Thank you for your pleasant feedback.  I feel enthusiastic about your great review about your visit to our property.  Also, I love that your son enjoyed his vacation and had a happy time here.

Give a call the next time you plan on coming out this way.  We'd be happy to assist you with your next vacation.

With Hospitality,
Lulu Lawag
Guest Services Manager",0
bruggercheryl,1,"Byron, Minnesota",2021-10-31,NONE,2021-10-25,5,Shore Cliff Hotel is fantastic,"Excellent customer service and beautiful, well-maintained hotel.  Grounds are beautiful, attention to detail was obvious.  Everyone was so friendly and professional.  Great breakfast and very clean environments.  Our room was spacious, clean, comfortable.  I loved the double vanity sinks.  Everything was perfect. Highly recommend, great location and fun place to visit. ",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-10-29,"Thank you for taking the time to share your review with all of us on TripAdvisor.  I am excited to hear your stay was pleasant.

We appreciate you recommending us to future travelers' to our establishment.  We hope to welcome you back again, soon!

With Hospitality,
Lulu Lawag
Guest Services Manager",0
gazelton,1,,2021-10-31,BUSINESS,2021-10-25,5,great time,nothing but the best the view was great the hospitality was amazing guest were friendly  we ate at he restaurant next door very close the pool was nice and clean room  the view was the best close to down town pismo  ,,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-10-29,"Thank you for providing us with your feedback.  I'm delighted to hear you had a ""great time"" at our Shore Cliff Hotel property.  I'm sure all our staff enjoyed catering to you as much as you relished in your visit to our facility.  Looking forward to your next stay!

With Hospitality,
Lulu Lawag
Guest Services Manager",0
klomba389217,1,,2021-10-31,NONE,2021-10-25,3,Run down hotel in a great location.,Property takes advantage of Poly families coming in for events by hiking prices beyond what’s reasonable for what you get. I paid $400+ per night for a <$200 night property. Otherwise fine. Don’t expect to get what you pay for here on family weekends. ,,1.0,4.0,4.0,4.0,3.0,3.0,Lulu Lawag,Guest Services / Front Office,2021-10-25,"Thank you for taking the time to provide us with your review.  I am pleased that you found our location to be great.  I am disappointed to hear that our room rates didn't meet your expectations.  We do set our rates comparable to other similar hotels in the Pismo Beach area.  We appreciate your feedback and we look forward to welcoming you back in the future.

With Hospitality,
Lulu Lawag
Guest Services Manager",0
vben4d,8,"Bakersfield, California",2021-10-31,NONE,2021-10-20,5,Perfect getaway,"While vacationing in Pismo my boyfriend and I stayed at Shore Cliff Hotel. I've been eyeing to stay at the Shore Cliff Hotel the next time I was in Pismo for a while as everything about this hotel seemed perfect. I am happy to say the perception I had was true! Our stay at Shore Cliff Hotel was nothing but perfect! At check in we were greeted and checked in by Lulu, the guest services manager. She was friendly and got us check in quickly. I also noticed Lulu replies to almost every review. I love that she replies to reviews because it shows that Shore Cliff Hotel values the opinion of others; both good and bad. During 4 night stay, we stayed in a pier view room. The room was clean, spacious, and the pier view was breathtaking. The grounds of the hotel was well kept. Almost every inch of the hotel offered such scenic views since the hotel is located on the cliffs of Pismo Beach. Along the cliffs of the hotel you will be able to see a sanctuary of birds ranging from California Brown Pelicans, Seagulls snd Night Herons. It was interesting to see the wild life up close and personal. Also during our stay my boyfriend and I enjoyed many of the services and amenities the hotel had to offer such as, the pool and hot tub, complimentary breakfast, gym and the swings around the property. Our stay at Shore Cliff Hotel was the perfect getaway from home. I would recommend to anyone visiting the pismo area. I can't wait to go back in the near future!",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-10-22,"Wow!  Thank you for sharing your great review about your most recent visit.  It is amazing people like yourself that really appreciate what we do, that make us love our jobs and continue to put in the effort that you see in the level of service we provide.  

Thank you so much for the kind words.  I will share your comments with the entire staff.  Until next time, take care!

With Hospitality,
Lulu Lawag
Guest Services Manager",0
